,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor,predicted_class,true_class,errors
4590,0,1,0,1,1,0,0,0,0,0,1,0,1,1
2482,6,1,0,1,0,0,0,0,0,0,0,1,0,1
4092,0,0,1,0,0,0,0,0,1,1,0,0,1,1
165,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1109,11,1,0,0,0,0,1,0,0,0,1,1,0,1
5933,20,1,0,0,1,0,0,0,0,0,0,1,1,0
4455,5,1,0,1,0,0,0,0,0,0,1,1,1,0
4183,13,1,0,0,1,0,0,0,0,0,1,1,1,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5380,2,1,1,0,1,0,0,0,0,0,1,0,0,0
423,20,0,1,0,0,0,1,0,0,0,0,1,0,1
4649,6,1,0,0,0,0,1,0,0,0,0,1,1,0
142,0,1,0,0,0,0,0,0,0,0,0,1,0,1
4595,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2007,3,1,0,1,0,0,0,0,0,0,1,1,1,0
3641,1,0,0,0,0,0,1,0,0,0,0,0,1,1
5400,6,1,0,0,1,0,0,0,0,0,0,1,1,0
2471,2,0,0,0,0,0,1,0,0,0,1,0,1,1
2225,0,1,0,0,1,0,0,0,0,0,1,0,1,1
159,3,0,1,0,1,0,0,0,0,0,0,0,0,0
4373,6,1,0,0,0,0,0,0,0,1,1,0,1,1
2245,1,0,1,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,1,0,0,1,1,0,0,0
4893,0,1,0,1,0,0,0,0,1,0,0,1,0,1
82,2,0,0,0,0,0,0,0,0,0,0,0,1,1
3726,1,1,0,1,1,0,0,0,0,0,0,1,1,0
2325,0,0,1,0,1,0,0,0,0,0,1,0,1,1
1312,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4017,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1682,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5171,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3725,4,1,0,0,0,0,0,0,0,1,0,1,0,1
2033,1,1,0,1,1,0,0,0,0,0,0,1,1,0
3063,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,16,1,0,0,0,0,0,0,0,0,1,1,0,1
1779,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6077,2,0,0,0,1,0,0,0,0,1,0,0,1,1
2146,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1859,3,0,0,0,0,0,0,0,0,0,0,0,1,1
5340,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2993,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1317,0,0,0,1,1,0,0,0,0,0,1,1,0,1
4416,3,0,0,0,1,0,0,0,0,0,1,1,1,0
5622,9,0,0,0,1,0,0,0,0,0,1,1,1,0
171,4,0,0,0,0,0,0,0,0,0,1,1,0,1
3922,20,0,1,0,1,0,0,0,0,0,1,0,1,1
194,2,1,0,1,1,0,0,0,0,0,0,1,0,1
5704,25,1,1,0,1,0,0,0,0,1,0,1,1,0
3195,2,0,0,0,0,0,0,0,1,0,1,0,1,1
5342,2,1,0,0,1,0,0,0,0,0,0,1,1,0
1696,7,1,0,0,0,0,0,0,0,0,0,1,1,0
4405,1,0,0,0,1,0,0,0,0,0,0,0,0,0
348,2,0,1,0,0,0,0,0,0,1,1,0,0,0
1825,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6106,5,1,0,0,0,0,0,0,0,0,1,1,0,1
2745,4,0,1,0,0,0,0,0,1,0,0,0,0,0
1641,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5876,2,0,0,0,0,0,0,0,0,0,1,0,0,0
1899,13,1,0,0,1,0,0,0,0,0,0,1,0,1
2421,5,0,1,0,1,0,0,0,0,0,0,0,0,0
3932,0,0,0,0,1,0,0,0,0,0,1,0,1,1
2064,1,1,0,1,1,0,0,0,0,0,0,1,0,1
4769,0,0,0,1,0,0,0,0,0,0,1,0,1,1
4578,1,1,0,1,1,0,0,0,0,0,1,1,1,0
3353,0,0,0,1,0,0,0,0,0,1,1,0,0,0
3114,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1309,6,0,1,0,0,0,0,0,0,0,0,0,1,1
4496,2,1,0,0,1,0,0,0,0,0,0,1,0,1
2806,5,1,0,0,0,0,0,0,0,1,0,1,0,1
5840,2,0,1,0,1,0,0,0,0,0,0,0,0,0
1925,0,1,0,0,0,0,0,0,0,0,1,1,1,0
4567,1,0,1,0,1,0,0,0,0,0,0,0,0,0
4402,2,1,0,1,1,0,0,0,0,0,0,1,1,0
3525,0,0,0,1,1,0,0,0,0,0,1,1,0,1
550,0,1,0,0,1,0,0,0,0,0,0,0,1,1
5954,4,0,0,0,1,0,0,0,0,0,0,0,1,1
1203,1,1,0,1,1,0,0,0,0,0,0,1,0,1
2543,24,1,0,0,1,0,0,0,0,0,1,1,1,0
4946,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1876,15,1,0,0,1,0,0,0,0,0,0,1,1,0
140,1,0,0,1,1,0,0,0,0,0,0,1,0,1
3882,1,1,0,0,1,0,0,0,0,0,1,0,1,1
2117,16,1,0,0,1,0,0,0,0,0,0,1,1,0
2975,5,0,0,0,0,0,0,0,0,0,0,0,1,1
237,3,1,1,0,1,0,0,0,0,0,0,0,1,1
4211,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4952,1,1,0,1,0,0,1,0,0,1,0,0,0,0
2591,1,0,0,0,0,0,0,0,0,1,1,0,0,0
4795,1,0,0,0,1,0,0,0,0,0,0,0,0,0
366,1,1,0,1,0,0,0,0,0,0,0,1,1,0
453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,0,1,0,1,0,0,1,0,0,0,0,0,0,0
3420,0,0,0,0,1,0,0,0,0,0,1,0,1,1
2252,2,0,0,0,0,0,0,0,1,0,0,0,1,1
2327,4,0,0,0,0,0,0,0,0,1,0,1,0,1
2119,1,0,0,1,0,0,0,0,0,0,1,0,0,0
5567,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2082,4,1,0,1,1,0,0,0,0,0,0,1,1,0
1841,3,0,0,0,1,0,0,0,0,0,0,1,0,1
1422,13,1,0,0,0,0,0,0,0,0,0,1,1,0
5553,5,1,0,0,1,0,0,0,0,0,0,1,1,0
3022,0,0,0,0,0,0,0,0,0,0,1,0,0,0
254,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3757,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1929,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5279,3,0,0,1,1,0,0,0,0,0,1,1,1,0
5201,4,0,1,0,0,0,0,0,0,1,0,0,0,0
4852,1,0,1,0,0,0,0,0,0,0,1,0,0,0
3376,2,1,0,1,0,0,0,0,0,0,0,1,1,0
3679,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2717,0,0,0,0,0,0,0,0,0,0,1,0,0,0
441,4,1,1,0,1,0,0,0,0,0,1,1,0,1
5084,8,0,0,1,0,0,0,0,0,0,0,1,1,0
229,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3830,0,0,0,0,1,0,0,0,0,0,0,0,1,1
99,10,1,0,0,1,0,0,0,0,0,0,1,1,0
1529,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1160,2,0,0,0,1,0,0,0,0,0,0,0,1,1
1610,2,0,0,0,1,0,0,0,0,0,1,0,1,1
4691,2,0,0,0,1,0,0,0,0,0,0,0,0,0
278,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2247,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2630,3,0,1,0,1,0,0,0,0,0,1,0,1,1
2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5768,2,0,1,0,0,0,0,0,0,0,0,0,1,1
1631,2,0,0,0,0,0,0,0,0,0,0,0,1,1
2424,8,1,0,0,0,0,0,0,1,0,0,1,1,0
13,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3861,3,0,0,0,0,0,0,0,0,0,1,0,1,1
1516,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1205,3,0,0,0,1,0,0,0,0,0,0,1,1,0
1351,8,0,1,0,1,0,0,0,0,0,0,0,1,1
650,6,1,0,0,1,0,0,0,0,0,0,1,0,1
1271,1,0,1,0,0,0,0,0,0,0,1,0,0,0
3769,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1658,0,1,0,0,1,0,0,0,0,0,0,0,1,1
5855,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4671,6,1,0,0,0,0,0,0,0,1,0,1,0,1
4754,1,0,0,1,0,0,1,0,0,0,0,1,1,0
799,5,1,0,0,1,0,0,0,0,0,0,1,1,0
2943,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2605,5,1,1,0,0,0,0,0,0,0,0,1,1,0
5956,6,1,0,1,0,0,0,0,1,0,0,1,1,0
